id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
3120,"Preso há 9 meses,  o mega empresário Marcelo Odebrecht está a 1 passo de implodir Lula e o PT.  Marcelo Odebrecht parece que resistiu o quanto pôde. Agora o mega empresário parece ter chegado ao limite de suas forças.  É o que garante o jornalista Cláudio Humberto,  dono do portal Diário do Poder e um dos jornalistas mais bem informados sobre os bastidores da política nacional. Em sua coluna Cláudio Humberto diz que Marcelo Odebrecht já estaria falando pelos cotovelos na Polícia Federal em Curitiba. Com as revelações feitas por Marcelo,  uma mega-operação da PF e outros órgãos públicos pode estar sendo armada para essa semana. O maior doador do Instituto Lula,  o maior contratante de palestras (que não existem) do ex-Presidente e um dos maiores doadores de todas as campanhas petistas desde 2002 poderá destruir de vez Lula e o PT.",None,https://www.diariodobrasil.org/preso-ha-9-meses-o-mega-empresario-marcelo-odebrecht-esta-a-1-passo-de-implodir-lula-e-o-pt-2/,politica,07/03/2016,155,144,104,0,4,23,0,38,7,6,7,0,0,12,1.375,679,18.0,4.71528,0.00694444,0.213115,0.722222
2107,"Ex-assessor de Palocci deixou a cadeia e foi internado por ""excesso de medicamentos"".  Branislav Kontic,  ex-assessor do ex-ministro Antonio Palocci,  precisou ser internado às pressas no sábado.  A PF havia informado que Brasnislav teria sido levado ao ao Hospital Santa Cruz para realizar exames. Hoje o Estadão informou que ele foi internado por ""ingerir medicamentos em excesso"". Palocci e Branislav foram presos na 35a fase da Operação Lava Jato e as prisões temporárias foram convertidas em preventivas. Ele já está de volta à cadeia. Não há prazo para que ambos presos deixem a prisão. Resta saber agora quem foi que deu esse ""excesso"" de medicamentos para Kontic. Será que ele tentou o suicídio ou será que tentaram apagá-lo?",None,https://www.diariodobrasil.org/ex-assessor-de-palocci-deixou-a-cadeia-e-foi-internado-por-excesso-de-medicamentos/,sociedade_cotidiano,03/10/2016,135,122,87,0,1,32,1,30,3,6,8,0,0,8,1.44444,591,13.5556,4.84426,0.0,0.145161,0.713115
1739,"Aconteceu em Fortaleza! Casal de hospeda em hotel beira-mar, resolve fazer amor e vira atração turística.  Em Fortaleza (CE) um casal (que estava hospedado em um hotel) decidiu fazer amor e acabou virando atração turística.  Sem perceber que estavam sendo observados, os pombinhos deixaram a porta da varanda aberta e a luz do quarto acesa. O resultado? Dezenas de pessoas se acumularam no calçadão em frente ao hotel. Homens e mulheres gritavam palavras de incentivo ao jovem casal. Nem precisa dizer que o vídeo bombou no WhatsApp né? A ""performance"" aconteceu nesta semana. leia também:",None,https://www.diariodobrasil.org/aconteceu-em-fortaleza-casal-de-hospeda-em-hotel-beira-mar-resolve-fazer-amor-e-vira-atracao-turistica12/,tv_celebridades,11/01/2017,113,96,74,2,1,25,1,30,4,3,3,0,0,2,2.42857,474,13.7143,4.9375,0.0,0.127273,0.770833
443,"Anonymous Brasil promete divulgar documentos que provam ""elo"" entre Temer, Rede Globo e Jovem Pan.  O Anonymous Brasil divulgou agora a noite, em sua página no Facebook que estará divulgando mais de seiscentas páginas de documentos.  abre aspas De acordo com o grupo, são provas que trazem uma série de atividades relacionadas ao presidente Michel Temer e seu amigo pessoal José Yunes. Além disso, eles afirmaram que os arquivos provam elos com José Roberto Marinho (Organizações Globo), Antonio Amaral de Carvalho (Jovem Pan) e vários Laranjas moradores da periferia de São Paulo. fecha aspas",None,https://www.diariodobrasil.org/anonymous-brasil-promete-divulgar-documentos-que-provam-elo-entre-temer-rede-globo-e-jovem-pan/,tv_celebridades,25/12/2017,109,94,74,2,0,13,1,32,1,4,1,0,0,7,3.0,483,18.8,5.1383,0.0,0.111111,0.787234
2100,"Delcídio entrega Lula e Dilma: ""Pode confirmar. Tudo foi gravado pelas câmeras"".  O senador Delcídio Amaral,  que já não faz mais parte do PT,  assinou acordo de delação premiada na Operação Lava Jato.  Diante da PGR,  ele citou vários nomes,  inclusive o da ""alma mais honesta do país"",  o ex-presidente Lula. Delcídio detalhou os bastidores da compra da refinaria de Pasadena pela Petrobrás e disse que citará mais nomes em seus futuros depoimentos após a homologação do acordo. A revista IstoÉ publicou detalhes da delação que teria 400 páginas e trechos do depoimento. O senador acusou Dilma Rousseff de atuar três vezes para interferir na Operação Lava Jato por meio do Judiciário. ""É indiscutível e inegável a movimentação sistemática do ministro da Justiça,  José Eduardo Cardozo,  e da própria presidente Dilma Rousseff no sentido de promover a soltura de réus presos na operação"" ,  disse Delcídio na delação,  segundo a matéria da revista. Uma das investidas da presidente Dilma passou pela nomeação do desembargador Marcelo Navarro para o Superior Tribunal de Justiça (STJ). ""Tal nomeação seria relevante para o governo"",  pois o nomeado cuidaria dos ""habeas corpus e recursos da Lava Jato no STJ"",  informou a IstoÉ. Conforme a IstoÉ,  o senador se reuniu com Navarro no Palácio do Planalto,  no andar térreo,  em uma pequena sala de espera. Fato que pode ser comprovado pelas câmeras de segurança. No STJ,  Navarro votou a favor da soltura dos empresários,  mas foi voto vencido.",None,https://www.diariodobrasil.org/delcidio-solta-a-primeira-bomba-e-entrega-lula-e-dilma-pode-confirmar-ta-tudo-gravado-pelas-cameras23a/,politica,06/10/2016,283,242,150,0,6,32,0,81,9,4,4,0,0,14,2.92857,1190,17.2857,4.91736,0.0,0.115044,0.619835
403,"Emocionante: Jovem de 27 anos morre de câncer e deixa ""lição de vida"" divulgada na internet. . ",None,https://www.diariodobrasil.org/emocionante-jovem-de-27-anos-morre-de-cancer-e-deixa-licao-de-vida-divulgada-na-internet/,tv_celebridades,08/01/2018,21,16,14,0,0,3,0,5,2,0,0,0,0,0,1.66667,73,5.33333,4.5625,0.0,0.25,0.875
3594,"Whatsapp entre dono da OAS e Cunha aponta que Michel Temer teria recebido R$ 5 milhões em propina. .  Rodrigo Janot (Procurador Geral da República) reuniu provas de que o vice Michel Temer (PMDB) recebeu R$ 5 milhões do dono da OAS,  José Adelmário Pinheiro,  um dos empreiteiros condenados no escândalo de propinas da Petrobras. O suposto pagamento a Temer está em uma das manifestações do ministro do Supremo Tribunal Federal (STF) Teori Zavascki,  que fundamentou as buscas da Operação Catilinárias,  deflagrada na semana passada. Em uma troca de mensagens via WhatsApp entre Pinheiro e Eduardo Cunha (PMDB-RJ),  aparace uma ""menção"" em que Cunha reclama que o empreiteiro pagou a Temer e deixou ""adiado"" o repasse a outros líderes do PMDB. ""Eduardo Cunha questionou o dono da OAS por ter pago R$ 5 milhões para Temer e deixado o resto da ""turma"" a ver navios,  afirmou o PGR,  conforme a reprodução feita no documento assinado pelo ministro do STF,  Teori Zavascki. Na troca de mensagens via Whatsapp,  Pinheiro pediu a Cunha ""cuidado com a análise para não mostrar a quantidade de pagamentos dos amigos"". A conversa foi encontrada no celular do dono da OAS,  apreendido em 2014. com informações da Folha",None,https://www.diariodobrasil.org/whatsapp-entre-dono-da-oas-e-cunha-aponta-que-michel-temer-teria-recebido-r-5-milhoes-em-propina/,politica,05/09/2015,237,201,120,1,14,29,2,71,3,1,3,0,0,5,4.0,958,22.3333,4.76617,0.0,0.04,0.597015
3313,"Governo petista de MG faz licitação de R$ 500 mil que inclui filé mignon e bacalhau. .  (a informação é da Rádio CBN) Mesmo com o atraso dos salários dos servidores do estado,  o governo de Minas Gerais fez uma licitação no valor de R$ 500 mil para a compra de pescados,  frios e carnes. Os produtos abastecerão os palácios Tiradentes,  Liberdade e Mangabeiras em 2016,  principalmente nas recepções para autoridades e ocasiões especiais No total,  são 11 toneladas de carne e pescado. Levando em consideração que,  em média,  uma pessoa come 250 gramas de carne por dia,  o montante seria suficiente para servir 120 convidados diariamente,  durante todo o ano. Segundo o doutor em economia e professor do Ibmec Paulo Pacheco,  a licitação está fora da realidade: ""As famílias estão piorando a sua condição de vida para se ajustar. O Estado tem que respeitar este momento e fazer exatamente a mesma coisa. Efetivamente,   demonstra um descolamento de realidade."" No portal de compras do governo,  estão detalhados os produtos adquiridos. Além de anéis de lula e filés de robalo,  salmão e atum,  constam nos lotes crustáceos variados,  como siri,  camarão e lagosta. Só de lombo de bacalhau dessalgado,  o governo de MG considerou necessário comprar 260 quilos. leia a matéria completa no site da CBN",None,https://www.diariodobrasil.org/governo-petista-de-mg-faz-licitacao-de-r-500-mil-que-inclui-file-mignon-e-bacalhau/,politica,19/01/2016,249,214,149,1,6,26,1,80,6,6,2,0,0,6,2.91667,1032,17.8333,4.82243,0.00934579,0.113208,0.696262
1294,Coreia do Norte lança mais um míssil balístico e avisa que haverá outros durante o fim de semana. . ,None,https://www.diariodobrasil.org/coreia-do-norte-lanca-mais-um-missil-balistico-e-avisa-que-havera-outros-durante-o-fim-de-semana/,sociedade_cotidiano,28/04/2017,20,18,18,0,0,3,0,3,1,1,0,0,0,2,0.666667,79,6.0,4.38889,0.0,0.333333,1.0
1372,"INDEPENDENT: Rússia ordena que Força Aérea se prepare para ""tempos de guerra"".  Medidas preparativas para combates já começaram.  A Força Aérea Russa recebeu ordens para se preparar para ""tempos de guerra"". O presidente ordenou que se faça um ""teste rápido"" nas forças armadas do país, informou o ministro da Defesa, Sergey Shoigu. Além de verificar se as tropas estão aptas para batalhas, a ordem irá aferir se todo o sistema de combate do país está pronto para lutar, informou a agência estatal de notícias TASS. ""De acordo com a decisão do Comandante Supremo das Forças Armadas, as Forças Aeroespaciais estão verificando a prontidão das agências de controle e das tropas para a realização de tarefas de combate"" ""Uma atenção especial deve ser dada ao alerta de combate visando a implantação de sistemas de defesa aérea para uma época de guerra e a disposição dos grupos aéreos para repelir agressões"" , disse o ministro da Defesa. A Rússia mantém um relacionamento cada vez mais tenso com alguns países da Otan. Com um orçamento militar anual avaliado em cerca de 66 milhões de dólares, Putin só perde (em termos de investimentos militares) para a Arábia Saudita, China e Estados Unidos, que possuem o maior orçamento do mundo. Em dezembro, Putin revelou planos para expandir suas forças armadas em 2017, incluindo um grande aumento no número de tanques, veículos blindados, aeronaves e armas nucleares.",None,https://www.diariodobrasil.org/independent-russia-ordena-que-forca-aerea-se-prepare-para-tempos-de-guerra/,sociedade_cotidiano,11/04/2017,265,230,152,0,2,30,2,73,16,5,4,0,0,8,3.5,1139,23.0,4.95217,0.0,0.203883,0.66087
1828,"Terreno do Instituto Lula foi comprado com dinheiro de propina. Lula vai fugir do país!.  O depoimento de Marcelo Odebrecht,  em seu acordo de delação premiada,  começou ontem (13) em Curitiba.  O empresário está preso na capital paranaense há mais de um ano e faz parte de um grupo de 77 executivos que firmaram acordos de colaboração com o MPF. De acordo com informação do Antagonista,  Marcelo Já admitiu à Procuradoria Geral da República que a compra do terreno para a construção da sede do Instituto Lula foi feita pela Odebrecht através de um esquema de repasse de propinas. A PF indiciou ontem (12) o ex-presidente Luiz Inácio,  Antônio Palocci,  dona Marisa Letícia e mais 4 pessoas no âmbito Operação Lava Jato. Lula é acusado pelo crime de corrupção passiva. Todos os demais foram denunciados por lavagem de dinheiro. Se Lula não for preso logo,  ele vai fugir!",None,https://www.diariodobrasil.org/terreno-do-instituto-lula-foi-comprado-com-dinheiro-de-propina-lula-vai-fugir-do-pais/,tv_celebridades,13/12/2016,168,149,108,0,2,21,2,47,3,8,7,0,0,6,2.11111,695,16.5556,4.66443,0.0,0.161765,0.724832
1580,"Em uma simples frase Sérgio Moro humilha Dias Toffoli.  Josias de Souza, colunista do UOL, questionou o juiz Sérgio Moro sobre as críticas feitas por pessoas pertencentes ao alto escalão jurídico.  Vamos explicar melhor: A pergunta de Josias (para Moro) era mais ou menos o seguinte: ""O que o sr. acha do comportamento do Ministro Dias Toffolli (do STF) que vive criticando as ações da Lava-Jato e as operações da PF?"" Moro respondeu : ""Somos muito zelosos com o devido processo legal. A gente segue a lei e outros seguem a política."" Ou seja, Moro disse o seguinte: Faço JUSTIÇA e não faço POLÍTICA ! Não podemos esquecer que o Ministro Dias Toffoli foi citado por Léo Pinheiro da OAS, porém teve a delação descartada pelo PRG Rodrigo Janot. Te cuida sr. Toffoli [...] seus dias podem estar contados.",None,https://www.diariodobrasil.org/em-uma-simples-frase-sergio-moro-humilha-dias-toffoli/,politica,14/02/2017,163,137,103,0,7,26,0,40,8,7,4,0,0,7,2.16667,629,11.4167,4.59124,0.0,0.227273,0.751825
1812,"Lula mexeu em vespeiro e acabou unindo os Procuradores: ""Ninguém impedirá o MPF de cumprir de seu dever"". .  leia-se por desagravo ( ação de reparar uma ofensa ou injúria) Após anunciar que está movendo uma ação de danos morais (em que pede o pagamento de R$ 1 milhão) contra o coordenador da força-tarefa da Lava-Jato, procurador Deltan Dallagnol, o ex-presidente acabou mexendo com quem não devia. Abaixo um trecho da nota da ANPR que reforça o apoio a Deltan: Vale salientar, novamente, que os responsáveis pela Lava Jato têm sido exemplo sólido no cumprimento da lei de forma imparcial e técnica. A atuação da Força-tarefa fundamenta-se em provas robustas reunidas ao longo de mais de dois anos de investigações que se tornaram referência no Brasil e no mundo no que concerne o combate efetivo à corrupção, premiada nacional e internacionalmente. O Ministério Público é um só, e o ataque pessoal a um de seus membros apenas acentua esta unidade. O procurador da República Deltan Dallagnol tem o respeito e o apoio de seus colegas de Ministério Público Federal ao conduzir-se de forma profissional e competente, nas investigações da Lava Jato. Nada nem ninguém afastará os membros do MPF do cumprimento equilibrado, impessoal e destemido de seus deveres."" ABAIXO A ÍNTEGRA DA NOTA ANPR",None,https://www.diariodobrasil.org/lula-mexeu-em-vespeiro-e-acabou-unindo-os-procuradores-ninguem-impedira-o-mpf-de-cumprir-de-seu-dever/,politica,16/12/2016,238,219,139,1,8,28,1,58,14,8,4,0,0,19,2.11111,1041,24.3333,4.75342,0.0,0.255814,0.634703
